folder,filename,filepath,frame_count,fps,width,height,duration_sec,frame_dir,n_extracted_frames,json_dir
AI_dataset/N01/N01_Treatment,Biceps Curl1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Biceps Curl1.MP4,361,29.97002997002997,1920,1080,12.045366666666666,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Biceps Curl1_frames,361,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Biceps Curl1_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3.MP4,332,29.97002997002997,1920,1080,11.077733333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3_frames,332,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension_bobathtable3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3.MP4,346,29.97002997002997,1920,1080,11.544866666666667,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3_frames,346,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3_JSON
AI_dataset/N01/N01_Treatment,Hip Extension3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Extension3.MP4,320,29.97002997002997,1920,1080,10.677333333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Extension3_frames,320,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Extension3_JSON
AI_dataset/N01/N01_Treatment,Knee Flexion3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Knee Flexion3.MP4,338,29.97002997002997,1920,1080,11.277933333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Knee Flexion3_frames,338,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Knee Flexion3_JSON
AI_dataset/N01/N01_Treatment,Hip Extension1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Extension1.MP4,351,29.97002997002997,1920,1080,11.7117,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Extension1_frames,351,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Extension1_JSON
AI_dataset/N01/N01_Treatment,Knee Extension_Chair1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1.MP4,346,29.97002997002997,1920,1080,11.544866666666667,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1_frames,346,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1.MP4,341,29.97002997002997,1920,1080,11.378033333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1_frames,341,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension_wheelchair3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3.MP4,413,29.97002997002997,1920,1080,13.780433333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3_frames,413,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3_JSON
AI_dataset/N01/N01_Treatment,Knee Extension_Wheelchair3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3.MP4,342,29.97002997002997,1920,1080,11.4114,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3_frames,342,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension_chair3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3.MP4,347,29.97002997002997,1920,1080,11.578233333333333,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3_frames,347,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3_JSON
AI_dataset/N01/N01_Ward,Ankle Pumping2.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Ward/Ankle Pumping2.MP4,358,29.97002997002997,1920,1080,11.945266666666667,../data/new_data/frames_output/AI_dataset/N01/N01_Ward/Ankle Pumping2_frames,358,../data/new_data/keypoints_json/AI_dataset/N01/N01_Ward/Ankle Pumping2_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension_bobathtable2.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2.MP4,379,29.97002997002997,1920,1080,12.645966666666666,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2_frames,379,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2_JSON
AI_dataset/N01/N01_Treatment,Hip Flexion Extension_chair1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1.MP4,349,29.97002997002997,1920,1080,11.644966666666667,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1_frames,349,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1_JSON
AI_dataset/N01/N01_Treatment,Knee Extension_Wheelchair1.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1.MP4,353,29.97002997002997,1920,1080,11.778433333333334,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1_frames,353,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1_JSON
AI_dataset/N01/N01_Treatment,Knee Extension_chair3.MP4,../data/new_data/raw_data/AI_dataset/N01/N01_Treatment/Knee Extension_chair3.MP4,334,29.97002997002997,1920,1080,11.144466666666666,../data/new_data/frames_output/AI_dataset/N01/N01_Treatment/Knee Extension_chair3_frames,334,../data/new_data/keypoints_json/AI_dataset/N01/N01_Treatment/Knee Extension_chair3_JSON
